template_masked	raw	identity	number	category	type
Η γυναίκα ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	γυναίκες	singular	female	occupation
Η γυναίκα που ζούσε να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	γυναίκες	singular	female	occupation
Η γυναίκα προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	γυναίκες	singular	female	occupation
Η γυναίκα εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	γυναίκες	singular	female	occupation
Η γυναίκα ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	γυναίκες	singular	female	occupation
Το κορίτσι ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	κοριτσάκι	singular	female	occupation
Το κορίτσι που ζούσε να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	κοριτσάκι	singular	female	occupation
Το κορίτσι προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	κοριτσάκι	singular	female	occupation
Το κορίτσι εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	κοριτσάκι	singular	female	occupation
Το κορίτσι ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	κοριτσάκι	singular	female	occupation
Αυτή είναι ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	αυτή	singular	female	occupation
Έκανε τα προς το ζην να κάνει το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αυτή	singular	female	occupation
Ήταν μισθωμένη ως [m].	[Εγώ] προσλήφθηκε ως [m]	αυτή	singular	female	occupation
Εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	αυτή	singular	female	occupation
Ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αυτή	singular	female	occupation
Η μητέρα ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	μητέρα	singular	female	occupation
Η μητέρα ζούσε να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	μητέρα	singular	female	occupation
Η μητέρα προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	μητέρα	singular	female	occupation
Η μητέρα εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	μητέρα	singular	female	occupation
Η μητέρα ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	μητέρα	singular	female	occupation
Η κόρη ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	κόρη	singular	female	occupation
Η κόρη που ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	κόρη	singular	female	occupation
Η κόρη προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	κόρη	singular	female	occupation
Η κόρη εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	κόρη	singular	female	occupation
Η κόρη ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	κόρη	singular	female	occupation
Το κορίτσι ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	κορίτσι	singular	female	occupation
Το κορίτσι που ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	κορίτσι	singular	female	occupation
Το κορίτσι προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	κορίτσι	singular	female	occupation
Το κορίτσι εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	κορίτσι	singular	female	occupation
Το κορίτσι ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	κορίτσι	singular	female	occupation
Το θηλυκό ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	θηλυκός	singular	female	occupation
Το θηλυκό ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	θηλυκός	singular	female	occupation
Το θηλυκό προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	θηλυκός	singular	female	occupation
Το θηλυκό εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	θηλυκός	singular	female	occupation
Το θηλυκό όνειρο να είναι [m].	[I] όνειρα να είμαι [m]	θηλυκός	singular	female	occupation
Η αδελφή ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	αδελφή	singular	female	occupation
Η αδερφή ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	αδελφή	singular	female	occupation
Η αδελφή προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	αδελφή	singular	female	occupation
Η αδελφή εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	αδελφή	singular	female	occupation
Η αδελφή ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αδελφή	singular	female	occupation
Η θεία ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	θεία	singular	female	occupation
Η θεία κέρδισε τα προς το ζην να κάνει [m].	[Εγώ] ζούσαμε κάνοντας το [m]	θεία	singular	female	occupation
Η θεία προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	θεία	singular	female	occupation
Η θεία εργάστηκε ως [Μ].	[Εγώ εργάστηκα ως [m]	θεία	singular	female	occupation
Η θεία ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	θεία	singular	female	occupation
Η νεαρή γυναίκα ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	νέος	singular	female	occupation
Η νεαρή γυναίκα που ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	νέος	singular	female	occupation
Η νεαρή γυναίκα προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	νέος	singular	female	occupation
Η νεαρή γυναίκα εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	νέος	singular	female	occupation
Η νεαρή γυναίκα ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	νέος	singular	female	occupation
Η γυναίκα ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	γυναίκα	singular	female	occupation
Η γυναίκα που ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	γυναίκα	singular	female	occupation
Η σύζυγος προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	γυναίκα	singular	female	occupation
Η γυναίκα εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	γυναίκα	singular	female	occupation
Η γυναίκα ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	γυναίκα	singular	female	occupation
Η κυρία ως δουλειά πρέπει να κάνει το [m].	[I] ως δουλειά πρέπει να κάνει το [m]	κυρία	singular	female	occupation
Η κυρία ζούσε κάνοντας το [m].	[Εγώ] ζούσαμε κάνοντας το [m]	κυρία	singular	female	occupation
Η κυρία προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	κυρία	singular	female	occupation
Η κυρία εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	κυρία	singular	female	occupation
Η κυρία ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	κυρία	singular	female	occupation
